id,label
11566462,No
17204857,No
19153381,No
18665972,No
10803460,No
18939509,No
16568202,No
12004993,No
10223509,No
22614986,No
17441850,No
8069015,No
20921046,No
10921810,No
13685651,No
21421149,No
18009578,No
15051550,No
12310169,No
15152009,No
13494851,No
23482138,No
17737343,No
22464755,No
23022493,No
9667749,No
17060469,No
17981379,No
8635982,No
10898551,No
20539373,No
8960956,No
19137190,No
9722777,No
14186563,No
23019042,No
20149192,No
19302493,No
7659949,No
11978705,No
17517036,No
19023448,No
22430572,No
21407072,No
8266133,No
17489694,No
22536838,No
23444593,No
13461096,No
11195114,No
9489257,No
8104057,No
20478472,No
13367855,No
12308411,No
21981479,No
12949035,No
12636980,No
21473750,No
12424890,No
17894116,No
7687626,No
8713983,No
8654090,No
15819310,No
21495530,No
23094293,No
23077174,No
17620838,No
22726027,No
21955142,No
9551238,No
17534536,No
9060624,No
11295851,No
19899475,No
22885538,No
22383850,No
14192230,No
21694016,No
20175615,No
12844015,No
12433142,No
13897384,No
20999496,No
23523344,No
18920982,No
10285752,No
16054672,No
20539739,No
22546587,No
14605447,No
13706155,No
15641595,No
13016238,No
13295276,No
9839594,No
22565768,No
12886453,No
12160024,No
7879383,No
12335056,No
20468460,No
14688838,No
14318631,No
16934038,No
17659384,No
22254327,No
16745035,No
9852149,No
10776867,No
13594400,No
23162643,No
15547405,No
16440280,No
19989161,No
19449520,No
8834878,No
17061103,No
16510844,No
15848435,No
11575073,No
17066445,No
8624281,No
11214381,No
16560947,No
11508794,No
13580444,No
23170042,No
15797075,No
23047636,No
20755002,No
18212847,No
17802771,No
16492077,No
17533665,No
13341597,No
22695528,No
21204576,No
14790901,No
10559248,No
8673869,No
18837556,No
19407358,No
12753492,No
16653770,No
10412775,No
15497478,No
13125855,No
17254608,No
19839700,No
7639082,No
8399343,No
22086262,No
15137441,No
10116178,No
13927426,No
20547767,No
15437333,No
20042820,No
20661677,No
22680007,No
12450908,No
21645116,No
19420063,No
16093079,No
13154554,No
21814893,No
12610557,No
12720083,No
15356902,No
13559508,No
22024881,No
14951629,No
8100264,No
23058572,No
14085666,No
16281772,No
18516893,No
13548165,No
18828069,No
17943468,No
11328462,No
15443060,No
14538946,No
20943959,No
19058209,No
14512377,No
17764627,No
8574418,No
14017733,No
16005232,No
21958289,No
12717008,No
13812311,No
16013950,No
12400085,No
18558291,No
13067588,No
9373025,No
17082217,No
13716162,No
11663263,No
11432174,No
20983459,No
8542848,No
10257158,No
16221658,No
20251672,No
15141672,No
13603499,No
15437643,No
18820781,No
10559175,No
16361732,No
12717916,No
15765722,No
20129167,No
23403700,No
9181510,No
7641633,No
20479774,No
13546235,No
16561596,No
16392574,No
18964632,No
19165078,No
15099924,No
14228949,No
17658687,No
15435804,No
11975780,No
19113143,No
20283574,No
8161847,No
9169681,No
22672550,No
16854219,No
